"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","5,290.00","5,385.00","5,385.00","5,265.80","276.53K","-1.76%"
"06/01/2024","5,385.00","5,712.10","5,739.00","5,280.00","309.85K","-5.72%"
"05/01/2024","5,712.00","5,890.00","6,139.40","5,630.00","502.54K","-3.02%"
"04/01/2024","5,890.00","5,810.00","6,130.00","5,660.10","354.03K","1.25%"
"03/01/2024","5,817.00","5,666.00","5,859.90","5,511.10","85.77K","3.86%"
"02/01/2024","5,601.00","5,619.90","5,900.10","5,581.40","5.19M","-0.69%"
"01/01/2024","5,639.80","5,600.00","5,780.00","5,363.20","9.09M","0.53%"
"12/01/2023","5,610.00","5,350.30","5,871.70","5,350.20","8.22M","5.06%"
"11/01/2023","5,340.00","5,018.68","5,499.79","5,017.70","24.17M","4.95%"
"10/01/2023","5,088.00","5,575.00","5,849.10","5,009.00","4.93M","-9.91%"
"09/01/2023","5,647.80","6,350.00","6,350.00","5,605.00","3.68M","-10.37%"
"08/01/2023","6,301.00","7,019.00","7,164.50","6,290.40","4.07M","-9.42%"
"07/01/2023","6,956.00","6,300.00","7,390.40","6,300.00","3.23M","7.59%"
"06/01/2023","6,465.00","5,950.00","6,587.60","5,950.00","4.80M","8.66%"
"05/01/2023","5,950.00","6,399.90","6,930.00","5,950.00","5.89M","-9.71%"
"04/01/2023","6,590.00","6,145.19","6,599.00","5,928.58","1.88M","8.12%"
"03/01/2023","6,095.10","6,294.28","6,626.13","5,726.60","4.59M","-3.23%"
"02/01/2023","6,298.57","6,089.12","6,493.47","5,856.27","3.13M","3.42%"
"01/01/2023","6,090.12","5,641.95","6,274.37","5,278.43","4.71M","7.94%"
"12/01/2022","5,641.95","5,235.60","5,925.79","4,968.33","3.72M","7.55%"
"11/01/2022","5,246.10","5,055.73","5,442.69","4,828.23","4.96M","4.27%"
"10/01/2022","5,031.43","5,113.97","5,133.52","4,570.58","3.62M","-1.63%"
"09/01/2022","5,115.04","4,832.12","5,221.02","4,351.82","7.92M","8.02%"
"08/01/2022","4,735.47","5,026.18","5,094.63","4,667.81","7.28M","-6.33%"
"07/01/2022","5,055.73","5,663.78","6,002.62","4,958.51","9.54M","-10.34%"
"06/01/2022","5,639.09","5,716.87","5,716.87","5,250.19","4.60M","-1.36%"
"05/01/2022","5,716.87","5,541.86","5,716.87","5,338.66","6.34M","3.16%"
"04/01/2022","5,541.86","5,529.13","5,632.41","5,210.85","5.63M","0.23%"
"03/01/2022","5,529.13","5,952.57","5,961.96","5,154.52","5.85M","-7.06%"
"02/01/2022","5,948.91","6,244.57","6,369.35","5,919.71","2.59M","-4.65%"
"01/01/2022","6,238.94","6,571.58","6,666.13","6,168.52","2.73M","-4.11%"
"12/01/2021","6,506.52","6,289.64","6,625.01","6,104.77","3.69M","5.00%"
"11/01/2021","6,196.69","5,935.19","7,116.08","5,935.19","7.75M","3.36%"
"10/01/2021","5,995.19","5,986.47","6,089.57","5,554.11","3.84M","-2.82%"
"09/01/2021","6,169.25","6,622.12","6,827.28","5,826.69","3.53M","-7.56%"
"08/01/2021","6,673.47","7,006.72","7,433.10","6,527.79","5.08M","-4.74%"
"07/01/2021","7,005.87","6,382.95","7,177.62","6,323.99","5.99M","10.80%"
"06/01/2021","6,323.22","5,554.11","6,365.60","5,511.38","25.99M","13.85%"
"05/01/2021","5,554.11","5,588.20","5,764.14","5,297.76","9.75M","-0.61%"
"04/01/2021","5,588.29","5,315.54","5,817.98","5,211.73","10.02M","5.66%"
"03/01/2021","5,288.92","5,229.48","5,692.41","5,229.48","18.69M","1.17%"
"02/01/2021","5,227.81","5,039.46","5,663.02","4,855.29","6.20M","3.74%"
"01/01/2021","5,039.46","4,436.31","5,189.30","4,320.70","7.05M","14.73%"
"12/01/2020","4,392.36","4,488.91","4,887.34","4,349.72","4.40M","-1.64%"
"11/01/2020","4,465.71","3,562.62","4,722.55","3,417.63","12.94M","25.35%"
"10/01/2020","3,562.62","4,208.87","4,242.01","3,562.62","5.70M","-15.19%"
"09/01/2020","4,200.83","4,349.72","4,455.77","4,127.67","8.11M","-0.80%"
"08/01/2020","4,234.63","4,863.40","4,863.40","4,234.63","5.57M","-13.09%"
